year,allocated_crores,spent_crores,recognized_startups,fund_of_funds_crore,unicorns,jobs_created_lakh,focus_area
2016,2000,500,471,500,5,1,Startup India launch January 16
2017,2500,1000,5900,1000,9,5,Tax exemptions notified
2018,3000,2000,12500,2000,18,12,DPIIT recognition portal
2019,3500,2800,27916,3500,24,25,Startup India Hub
2020,4500,3800,41061,5000,38,45,COVID pivot support
2021,5500,4500,61400,7500,68,80,Record unicorn creation
2022,7000,5800,84012,10000,107,120,3rd largest ecosystem
2023,8500,7200,100000,12000,111,150,100000 startups milestone
2024,10000,8500,117254,15000,115,180,Deep tech focus
2025,12000,10500,140000,18000,120,210,Startup20 G20 legacy
